Estación,Código,Región,Departamento,Municipio,Latitude,Longitude,Altitude
ALAMEDA ICTA,INS040101CV,ALTIPLANO CENTRAL,CHIMALTENANGO,CHIMALTENANGO,14.637936,-90.803967,1750
ASUNCION MITA,INS220501CV,VALLES DE ORIENTE,JUTIAPA,ASUNCIÓN MITA,14.335447,-89.705892,478
CAMOTAN,INS200501CV,VALLES DE ORIENTE,CHIQUIMULA,CAMOTÁN,14.821751,-89.374614,450
CATARINA,INS121601CV,BOCACOSTA,SAN MARCOS,CATARINA,14.856361,-92.074858,233
CHAMPERICO FEGUA,INS110701CV,PACÍFICO,RETALHULEU,CHAMPERICO,14.29397,-91.91426,5
CHINIQUE,INS140301CV,ALTIPLANO CENTRAL,QUICHÉ,CHINIQUE,15.04675,-91.019608,1880
CHIXOY PCH,INS141901CV,ALTIPLANO CENTRAL,QUICHÉ,CHICAMÁN,15.357893,-90.661261,680
COBAN,INS160101CV,FRANJA TRANSVERSAL DEL NORTE,ALTA VERAPAZ,COBÁN,15.46992,-90.405518,1323
CUBULCO,INS150401CV,ALTIPLANO CENTRAL,BAJA VERAPAZ,CUBULCO,15.109023,-90.620582,994
EL CAPITAN,INS071301CV,ALTIPLANO CENTRAL,SOLOLÁ,SAN LUCAS TOLIMÁN,14.644497,-91.140524,1562
EL TABLON,INS070101CV,ALTIPLANO CENTRAL,SOLOLÁ,SOLOLÁ,14.7902778,-91.1819444,2397
ESQUIPULAS,INS200701CV,VALLES DE ORIENTE,CHIQUIMULA,ESQUIPULAS,14.559694,-89.341459,950
FLORES AEROPUERTO,INS170101CV,NORTE,PETÉN,FLORES,16.916093,-89.86686,123
HUEHUETENANGO,INS130101CV,OCCIDENTE,HUEHUETENANGO,HUEHUETENANGO,15.31828,-91.502403,1870
INSIVUMEH,INS010101CV,ALTIPLANO CENTRAL,GUATEMALA,GUATEMALA,14.587267,-90.532679,1502
LA AURORA,INS010102CV,ALTIPLANO CENTRAL,GUATEMALA,GUATEMALA,14.58619,-90.52773,1491
LA FRAGUA,INS190201CV,VALLES DE ORIENTE,ZACAPA,ESTANZUELA,14.96553,-89.58437,227
LA UNION,INS190901CV,VALLES DE ORIENTE,ZACAPA,LA UNIÓN,14.9633333,-89.2911111,1000
LABOR OVALLE,INS090301CV,OCCIDENTE,QUETZALTENANGO,OLINTEPEQUE,14.871334,-91.514438,2380
LAS VEGAS PHC,INS180201CV,CARIBE,IZABAL,LIVINGSTON,15.585416,-88.944686,10
LOS ALBORES,INS020301CV,ALTIPLANO CENTRAL,EL PROGRESO,SAN AGUSTÍN ACASAGUASTLÁN,15.0525,-89.949167,1391
LOS ALTOS,INS090101CV,OCCIDENTE,QUETZALTENANGO,QUETZALTENANGO,14.8599015,-91.50807279,2389
LOS ESCLAVOS,INS060101CV,ALTIPLANO CENTRAL,SANTA ROSA,CUILAPA,14.2528,-90.2783,737
MAZATENANGO,INS100101CV,BOCACOSTA,SUCHITEPÉQUEZ,MAZATENANGO,14.5283333,-91.5027778,352
MONTUFAR,INS221401CV,PACÍFICO,JUTIAPA,MOYUTA,13.80853,-90.15446,29
NEBAJ,INS141301CV,FRANJA TRANSVERSAL DEL NORTE,QUICHÉ,NEBAJ,15.399247,-91.142084,1906
PANZOS PHC ALTA VERAPAZ,INS160701CV,FRANJA TRANSVERSAL DEL NORTE,ALTA VERAPAZ,PANZÓS,15.3974,-89.64397,33
PASABIEN,INS190301CV,VALLES DE ORIENTE,ZACAPA,RÍO HONDO,15.030222,-89.67925,260
POTRERO CARRILLO,INS210101CV,VALLES DE ORIENTE,JALAPA,JALAPA,14.74996,-89.933667,1760
PUERTO BARRIOS PHC,INS180101CV,CARIBE,IZABAL,PUERTO BARRIOS,15.730161,-88.584395,2
