Estación,Código,Región,Departamento,Municipio,Latitude,Longitude,Altitude
CHAMPERICO FEGUA,INS110701CV,PACÍFICO,RETALHULEU,CHAMPERICO,14.29397,-91.91426,5
COBAN,INS160101CV,FRANJA TRANSVERSAL DEL NORTE,ALTA VERAPAZ,COBÁN,15.46992,-90.405518,1323
ESQUIPULAS,INS200701CV,VALLES DE ORIENTE,CHIQUIMULA,ESQUIPULAS,14.559694,-89.341459,950
FLORES AEROPUERTO,INS170101CV,NORTE,PETÉN,FLORES,16.916093,-89.86686,123
HUEHUETENANGO,INS130101CV,OCCIDENTE,HUEHUETENANGO,HUEHUETENANGO,15.31828,-91.502403,1870
LA AURORA,INS010102CV,ALTIPLANO CENTRAL,GUATEMALA,GUATEMALA,14.58619,-90.52773,1491
LA FRAGUA,INS190201CV,VALLES DE ORIENTE,ZACAPA,ESTANZUELA,14.96553,-89.58437,227
LABOR OVALLE,INS090301CV,OCCIDENTE,QUETZALTENANGO,OLINTEPEQUE,14.871334,-91.514438,2380
LOS ALTOS,INS090101CV,OCCIDENTE,QUETZALTENANGO,QUETZALTENANGO,14.8599015,-91.50807279,2389
MONTUFAR,INS221401CV,PACÍFICO,JUTIAPA,MOYUTA,13.80853,-90.15446,29
PUERTO BARRIOS PHC,INS180101CV,CARIBE,IZABAL,PUERTO BARRIOS,15.730161,-88.584395,2
RETALHULEU AEROPUERTO,INS110101CV,BOCACOSTA,RETALHULEU,RETALHULEU,14.52486,-91.69407,205
TECUN UNAM,INS121701CV,PACÍFICO,SAN MARCOS,AYUTLA,14.70195,-92.128059,29
POPTUN,INS171201CV,NORTE,PETÉN,POPTÚN,16.32566,-89.41043,479
SAN JOSE AEROPUERTO,INS050901CV,PACÍFICO,ESCUINTLA,SAN JOSÉ,13.936665,-90.835264,6
